objectid,filename,youtubeid,vimeoid,title,creator,date,date_created,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights
pk001,t1pollit_mapa.jpg,,,Map of Poland and Lithuania during the Jagiellonian dynasty,"Wielhorski, Władysław",1959,,Map of the borders of the Kingdom of Poland the Grand Duchy of Lithuania as of 1494 and 1522.,Kingdom of Poland; Grand Duchy of Lithuania,Central Europe; Eastern Europe,,,"PG 24-25, Pamiętnik Kijowski, T1",,Image;StillImage,image/jpeg,pol,http://rightsstatements.org/vocab/NoC-US/1.0/ 
pk002,ziemie_ukrainne_mapa.jpeg,,,Map of Ukraine in the 17th century,"Wielhorski, Władysław",1959,,Map of Ukrainian lands outlining the boundaries of the Polish Rzeczpospolita in the 17th century as well as the boundaries of the voivodeships before the partitions. ,Polish Rzeczpospolita; Ukraine; Voivodeships,Ukraine,,,"PG 56-57, Pamiętnik Kijowski, T1",,Image;StillImage,image/jpeg,pol,http://rightsstatements.org/vocab/NoC-US/1.0/ 
pk003,t3_braha.jpeg,,,Braha,"Jaworska, Jadwiga z Kownackich ",,1905-1917,"Photograph of the estate of Jadwiga Jaworska's father, Izydor Kownacki, in Braha. ",estates,"Braha, Khmelnytskyi Oblast; Ukraine",48.52261787,26.50899217,"PG 80, Pamiętnik Kijowski, T3",,Image;StillImage,image/jpeg,pol,http://rightsstatements.org/vocab/NoC-US/1.0/ 
pk004,t3_czerepa.jpeg,,,Czerepaszyńce ,collection of Maria Bobińska,,1822-1826,Photograph of the estate of Feliks Zdziechowski.,estates,"Cherepashyntsi, Vinnytsia Oblast; Ukraine",49.53342165,28.59351897,"PG 88-89, Pamiętnik Kijowski, T3",,Image;StillImage,image/jpeg,pol,http://rightsstatements.org/vocab/NoC-US/1.0/ 
pk005,t3_peczara.jpeg,,,Peczara ,"Urbański, Antoni",1928,first half of 19th century,Photograph of the estate of Count Franciszek Potocki.,estates,"Pechera, Vinnytsia Oblast; Ukraine",48.86178853,28.71311312,"PG 88-89, 156, Pamiętnik Kijowski, T3",,Image;StillImage,image/jpeg,pol,http://rightsstatements.org/vocab/NoC-US/1.0/ 
pk006,t3_pietni.jpeg,,,Pietniczany,"Orda, Napoleon; Podolska, G.",,16th century to 1918,Photograph of the Pietniczany estate of the Grocholski family.,estates,"Pyatnichany, Vinnytsia, Vinnytsia Oblast; Ukraine",49.24845653,28.45625094,"PG 84, Pamiętnik Kijowski, T3",,Image;StillImage,image/jpeg,pol,http://rightsstatements.org/vocab/NoC-US/1.0/ 
pk007,t3_popiel.jpeg,,,Popieluchy,"Urbański, Antoni",1928,1879-1880,Photograph of the estate of Zenon Brzozowski.,estates,"Popelyukhy, Vinnytsia Oblast; Ukraine",48.21793423,28.96999322,"PG 88-89, Pamiętnik Kijowski, T3",,Image;StillImage,image/jpeg,pol,http://rightsstatements.org/vocab/NoC-US/1.0/ 
pk008,t4_branicki.jpeg,,,Biała Cerkiew ,,,18th century to 1917,Photographo of the Winter Palace of the Branicki family.,estates,"Bila Tserkva, Kyiv Oblast; Ukraine",49.79289552,30.10953081,"PG 82-83, Pamiętnik Kijowski, T4",,Image;StillImage,image/jpeg,pol,http://rightsstatements.org/vocab/NoC-US/1.0/ 
pk009,t4_olizar.jpeg,,,Czarnolas,,,16th century,Photograph of the Olizar family estate belonging to Włodzimierz Olizar.,estates,"Korostyshiv, Zhytomyr Oblast; Ukraine",50.32012896,29.06668817,"PG 130, Pamiętnik Kijowski, T4",,Image;StillImage,image/jpeg,pol,http://rightsstatements.org/vocab/NoC-US/1.0/ 
pk010,t3_sienia.jpeg,,,Stara Sieniawa,"Rulikowska, J; Tyszkiewiczowa, K.",,,"Photograph of the avenue of trees modelled after the Schönbrunn Palace in Vienna, at the Stara Sieniawa estate of the Stadnicki family.",estates; parks,"Stara Synyavka, Khmelnytskyi Oblast; Ukraine",49.59393152,27.62644675,"PG 25, Pamiętnik Kijowski, T3",,Image;StillImage,image/jpeg,pol,http://rightsstatements.org/vocab/NoC-US/1.0/ 
pk011,t4_grzebie.jpeg,,,Grzebienie,,,,Photograph of the Zdanowski estate in Grzebienie.,estates,"Hrebeni, Kyiv Oblast; Ukraine",50.01856496,30.97697867,"PG 34-35, Pamiętnik Kijowski, T4",,Image;StillImage,image/jpeg,pol,http://rightsstatements.org/vocab/NoC-US/1.0/ 
pk012,t4_juszki.jpeg,,,Juszki,,,,Photograph of the Baykowski estate and park.,estates; parks,"Yushky, Kyiv Oblast; Ukraine",50.01715006,30.95050647,"PG 130-131, Pamiętnik Kijowski, T4 ",,Image;StillImage,image/jpeg,pol,http://rightsstatements.org/vocab/NoC-US/1.0/ 
pk013,t4_rzysz_mapa.jpeg,,,Rzyszczów Parish,,,1917,Map of the Rzyszczów Parish and environs as of 1917.,"map, parish","Rzhyshchiv, Kyiv Oblast; Ukraine",49.96345402,31.03733813,"PG 34-35, Pamiętnik Kijowski, T4",,Image;StillImage,image/jpeg,pol,http://rightsstatements.org/vocab/NoC-US/1.0/ 
pk014,t4_samhor.jpeg,,,Samhorodek,,,,Photograph of the Żurakowski family estate before 1908.,estates,"Samhorodok, Vinnytsia Oblast; Ukraine",49.53367854,28.84399125,"PG 130, Pamiętnik Kijowski, T4",,Image;StillImage,image/jpeg,pol,http://rightsstatements.org/vocab/NoC-US/1.0/ 
pk015,t5_dywin_mapa.jpeg,,,Map of Dywin,"Szornel, Ignacy",,,"Map of Dyvyn, formerly Dziwin and surrounding villages.",map,"Dyvyn, Zhytomyr Oblast; Ukraine",50.20218578,29.60546898,"PG 72, Pamiętnik Kijowski, T5",,Image;StillImage,image/jpeg,pol,http://rightsstatements.org/vocab/NoC-US/1.0/ 
pk016,t5_dywin.jpeg,,,Dywin,"Szornel, Ignacy",,1875-1880,Photographs of the front and back of the Dywin estate belonging to the Szornel family before rebuilding between 1875-1880.,estates,"Dyvyn, Zhytomyr Oblast; Ukraine",50.20482248,29.60859121,"PG 96-97, Pamiętnik Kijowski, T5",,Image;StillImage,image/jpeg,pol,http://rightsstatements.org/vocab/NoC-US/1.0/ 
pk017,t5_markiew.jpeg,,,Żywotówka,"Strzałko, Franciszek",c. 1914,mid-19th century,Photograph of the Markiewicz estate.,estates,"Zhyvotivka, Vinnytsia Oblast; Ukraine",49.2289896,29.53330752,"PG 96-97, Pamiętnik Kijowski, T5",,Image;StillImage,image/jpeg,pol,http://rightsstatements.org/vocab/NoC-US/1.0/ 